"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"81","2012","5","Karnataka","Uttara Kannada","1024.68","813.6","16.23","34.55","6.45","16.63","14.32","6.14","111.97","125.73","112.3"
"81","2013","5","Karnataka","Uttara Kannada","1024.68","813.6","16.23","34.55","6.45","16.63","14.34","6.54","111.54","122.29","109.6"
"81","2014","5","Karnataka","Uttara Kannada","1024.68","813.6","16.21","34.6","6.45","16.63","14.14","6.28","111.98","122.45","109.3"
"81","2015","5","Karnataka","Uttara Kannada","1024.68","813.6","16.14","34.67","6.45","16.63","14.35","7.03","111.02","122.05","109.9"
"81","2016","5","Karnataka","Uttara Kannada","1024.68","813.6","16.14","34.67","6.45","16.63","14.39","7.14","110.86","121.06","109.2"
"81","2017","5","Karnataka","Uttara Kannada","1024.68","813.6","16.2","34.71","6.45","16.63","14.22","6.93","111.15","122.41","110.1"
"82","2000","5","Karnataka","Kodagu","411.0","135.0","31.0","24.0","12.0","18.0","4.0","9.0","147.0","148.0","100.7"
"82","2001","5","Karnataka","Kodagu","410.78","134.6","31.01","23.69","11.92","17.8","3.92","8.58","147.11","148.62","101.0"
"82","2002","5","Karnataka","Kodagu","410.78","134.6","31.01","23.69","11.92","17.8","5.56","7.21","146.84","147.54","100.5"
"82","2003","5","Karnataka","Kodagu","410.78","134.6","31.01","23.69","11.92","17.8","5.26","6.9","147.45","148.13","100.5"
"82","2004","5","Karnataka","Kodagu","410.78","134.6","31.01","23.69","11.92","17.8","2.34","5.0","152.27","153.14","100.6"
"82","2005","5","Karnataka","Kodagu","410.78","134.6","31.01","23.69","11.92","17.53","2.65","5.21","151.75","154.72","102.0"
"82","2006","5","Karnataka","Kodagu","410.78","134.6","31.01","23.96","9.83","16.88","4.43","6.31","156.82","162.92","103.9"
"82","2007","5","Karnataka","Kodagu","410.78","134.6","31.01","23.96","9.13","14.77","2.74","3.76","167.35","179.23","107.1"
"82","2008","5","Karnataka","Kodagu","410.78","134.6","31.01","23.96","9.13","14.77","4.0","4.93","165.04","178.48","108.1"
"82","2009","5","Karnataka","Kodagu","410.78","134.6","31.01","24.15","9.11","14.73","4.44","4.83","164.65","179.0","108.7"
"82","2010","5","Karnataka","Kodagu","410.78","134.6","31.01","24.2","9.11","13.88","3.5","3.93","169.52","184.56","108.9"
"82","2011","5","Karnataka","Kodagu","410.78","134.6","31.01","24.22","9.08","13.88","3.62","4.23","169.92","185.88","109.4"
"82","2012","5","Karnataka","Kodagu","410.78","134.6","31.01","24.22","9.08","13.88","3.62","7.59","166.57","182.67","109.7"
"82","2013","5","Karnataka","Kodagu","410.78","134.6","31.01","24.22","9.08","13.88","3.62","7.42","166.74","182.23","109.3"
"82","2014","5","Karnataka","Kodagu","410.78","134.6","31.01","24.22","9.08","13.88","3.61","6.89","167.28","190.62","114.0"
"82","2015","5","Karnataka","Kodagu","410.78","134.6","31.01","24.22","9.08","13.88","3.73","8.99","165.06","188.79","114.4"
"82","2016","5","Karnataka","Kodagu","410.78","134.6","31.01","24.3","9.08","13.88","3.6","8.53","165.56","189.29","114.3"
"82","2017","5","Karnataka","Kodagu","410.78","134.6","31.01","24.3","9.08","13.88","3.9","8.92","164.88","188.61","114.4"
"549","2000","5","Karnataka","Bangalore(Rural)","585.0","81.0","36.0","58.0","6.0","30.0","19.0","34.0","298.0","325.0","109.1"
"549","2001","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.66","58.08","5.81","30.62","20.33","36.77","295.04","332.19","112.6"
"549","2002","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.66","58.18","5.81","30.19","20.73","64.45","267.31","274.24","102.6"
"549","2003","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.66","58.34","5.03","28.86","10.32","40.42","306.41","315.78","103.1"
"549","2004","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.66","60.52","5.03","28.86","8.54","31.0","318.21","326.4","102.6"
"549","2005","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.46","64.71","5.08","28.54","12.02","28.08","316.22","327.35","103.5"
"549","2006","5","Karnataka","Bangalore(Rural)","585.43","81.27","35.46","65.62","5.08","28.54","46.99","63.31","242.99","251.74","103.6"
"549","2007","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.84","3.9","3.88","14.47","28.91","103.85","134.08","129.1"
"549","2008","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","11.75","11.59","123.75","129.52","104.7"
"549","2009","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","11.75","10.39","124.96","130.52","104.5"
"549","2010","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","11.2","10.48","125.13","131.1","104.8"
"549","2011","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","11.4","9.65","125.77","130.62","103.9"
"549","2012","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","13.79","12.01","119.98","122.96","102.5"
"549","2013","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","39.98","3.9","3.88","15.46","14.26","116.06","119.59","103.0"
"549","2014","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","43.98","3.9","3.88","17.38","16.31","108.1","111.87","103.5"
"549","2015","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","45.47","3.9","3.88","12.47","15.71","112.21","116.95","104.2"
"549","2016","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","46.42","3.9","3.88","13.75","21.4","104.3","107.56","103.1"
"549","2017","5","Karnataka","Bangalore(Rural)","229.52","11.32","11.12","46.94","3.9","3.88","17.33","21.14","100.46","103.29","102.8"
"550","2000","5","Karnataka","Bangalore(Urban)","217.0","3.0","5.0","87.0","4.0","6.0","3.0","16.0","86.0","95.0","110.5"
"550","2001","5","Karnataka","Bangalore(Urban)","217.41","3.3","4.89","91.78","4.34","5.18","2.83","15.66","81.83","88.51","108.2"
"550","2002","5","Karnataka","Bangalore(Urban)","217.41","3.3","4.89","91.78","5.66","6.25","3.53","25.78","65.26","73.71","112.9"
"550","2003","5","Karnataka","Bangalore(Urban)","217.41","3.3","4.89","94.06","3.84","5.86","3.62","18.49","73.36","84.0","114.5"
"550","2004","5","Karnataka","Bangalore(Urban)","217.41","3.3","4.89","95.23","4.39","5.67","5.47","12.95","75.91","80.15","105.6"
"550","2005","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.93","98.54","4.44","5.67","4.86","12.8","73.6","75.9","103.1"
"550","2006","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","107.43","4.44","5.67","4.86","22.76","54.26","56.13","103.5"
"550","2007","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","111.44","4.44","5.67","5.07","14.43","58.88","60.81","103.3"
"550","2008","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","114.88","3.79","5.67","5.14","16.18","54.35","56.4","103.8"
"550","2009","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","115.44","3.7","5.67","5.17","17.14","52.88","54.62","103.3"
"550","2010","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","115.53","3.78","5.67","5.22","19.42","50.37","52.22","103.7"
"550","2011","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","115.81","3.84","5.67","5.39","17.78","51.43","53.59","104.2"
"550","2012","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","115.85","3.86","5.67","6.49","20.39","47.65","54.17","113.7"
"550","2013","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","120.14","3.89","5.67","6.73","18.37","44.99","51.06","113.5"
"550","2014","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","124.57","3.89","5.67","6.73","17.51","41.42","45.38","109.5"
"550","2015","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","124.79","3.89","5.67","6.73","21.56","37.15","41.21","110.9"
"550","2016","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","125.14","3.89","5.67","6.73","23.94","34.43","37.17","108.0"
"550","2017","5","Karnataka","Bangalore(Urban)","217.41","5.06","4.91","125.31","3.89","5.67","6.73","25.11","33.09","36.28","109.6"
"1010","2000","5","Karnataka","Bagalkote","659.0","81.0","25.0","29.0","2.0","3.0","9.0","61.0","448.0","513.0","114.5"
"1010","2001","5","Karnataka","Bagalkote","658.88","81.05","24.81","28.83","2.04","3.43","9.97","72.43","436.12","475.08","108.9"
"1010","2002","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","73.72","434.75","477.76","109.9"
"1010","2003","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","111.25","397.21","422.3","106.3"
"1010","2004","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","38.68","469.78","571.62","121.7"
"1010","2005","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","41.06","467.41","580.96","124.3"
"1010","2006","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","48.58","459.84","547.88","119.1"
"1010","2007","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","40.12","468.28","600.41","128.2"
"1010","2008","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","53.06","455.34","567.26","124.6"
"1010","2009","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","41.92","466.48","600.33","128.7"
"1010","2010","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","36.01","472.39","608.72","128.9"
"1010","2011","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","30.82","477.58","616.3","129.0"
"1010","2012","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","64.6","443.8","508.07","114.5"
"1010","2013","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","41.0","467.4","588.69","126.0"
"1010","2014","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","9.97","38.54","469.86","569.44","121.2"
"1010","2015","5","Karnataka","Bagalkote","658.88","81.13","24.81","28.83","2.04","3.43","22.27","44.12","451.99","550.3","121.7"
"1010","2016","5","Karnataka","Bagalkote","658.88","81.13","24.81","29.85","2.04","3.43","9.93","38.58","468.84","604.73","129.0"
