Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
75,2017,5,Karnataka,Belgaum,0,0,0.2,9.1,65,138.1,193,66.5,231.7,126.9,8.3,1,839.8
76,2000,5,Karnataka,Bijapur,0,3,0,2,28,59,55,108,103,90,1,0,449
76,2001,5,Karnataka,Bijapur,1,0,0,7,3,12,12,65,185,177,0,0,462
76,2002,5,Karnataka,Bijapur,4,2,0,21,35,78,59,50,69,159,5,0,482
76,2003,5,Karnataka,Bijapur,-1,-1,-1,10,0,31,47,69,110,53,0,0,-1
76,2004,5,Karnataka,Bijapur,1,0,0,10,0.9,55,118,27,158,66,0,0,435.9
76,2005,5,Karnataka,Bijapur,1,1,0,7,92,61,137,100,123,94,0,0,616
76,2006,5,Karnataka,Bijapur,0,0,12,5,64,130,19,24,217,73,47,0,591
76,2007,5,Karnataka,Bijapur,0,0,0,1.6,18.9,223.7,45,116.1,188.3,28.4,4,0,626
76,2008,5,Karnataka,Bijapur,0,0,1,6,16,19,33,94,148,51,14,0,360
76,2009,5,Karnataka,Bijapur,0,0,6.7,5,59.9,92.1,20.1,178.1,301.4,253.8,0,0,917.1
76,2010,5,Karnataka,Bijapur,7,3,0,8,25,95,86,165,85,77,35,3,588
76,2011,5,Karnataka,Bijapur,0,0,0,27,46,43,80,95,30,34,0,0,356
76,2012,5,Karnataka,Bijapur,0,0,0,26.2,9.1,33,80.1,62,68.4,123.8,25.3,0,427.9
76,2013,5,Karnataka,Bijapur,0.3,2.3,2,28.7,21.4,86.9,122.2,51.4,201.3,94.8,1.4,0,612.7
76,2014,5,Karnataka,Bijapur,0,5.9,38.1,13.3,70.6,32.6,94.7,178.7,85.7,51.6,18,7.1,596.3
76,2015,5,Karnataka,Bijapur,1.6,0,12,38.7,24,49,7.1,71.8,179.4,61.7,10.1,0.7,456.1
76,2016,5,Karnataka,Bijapur,0,0,8.5,9.7,32.9,95.4,127.8,46.7,124.8,20,0.3,1.4,467.5
76,2017,5,Karnataka,Bijapur,0,0,6,7.2,40.3,120.7,33.6,104.1,173,152.9,0,4.1,641.9
77,2000,5,Karnataka,Bidar,0,4,0,5,75,188,158,274,76,31,3,0,814
77,2001,5,Karnataka,Bidar,13,0,0,24,5,129,56,185,146,228,1,0,787
77,2002,5,Karnataka,Bidar,19,2,0,16,54,122,88,238,119,91,5,0,754
77,2003,5,Karnataka,Bidar,-1,-1,-1,10,1,115,205,330,137,27,0,0,-1
77,2004,5,Karnataka,Bidar,11,9,7,44,102,63,253,67,128,81,1,0,766
77,2005,5,Karnataka,Bidar,7,5,1,47,92,65,309,114,241,119,0,3,1003
77,2006,5,Karnataka,Bidar,0,0,63,33,46,157,11,192,229,41,3,0,775
77,2007,5,Karnataka,Bidar,0,0,0,0.6,25.7,252.7,76.8,161.9,264,0.5,15.9,0,798.1
77,2008,5,Karnataka,Bidar,0,0,0,12,8,73,116,234,278,55,1,3,760
77,2009,5,Karnataka,Bidar,0,0,4.9,4.5,10.2,81.5,55.4,193.3,161.9,103.7,0,0,615.4
77,2010,5,Karnataka,Bidar,3,14,1,7,15,78,360,312,131,87,32,0,1040
77,2011,5,Karnataka,Bidar,0,4,1,35,23,50,271,234,67,33,0,0,719
77,2012,5,Karnataka,Bidar,0.6,0.3,0,29.7,14.2,149.4,183,126.2,127.8,101.5,29.8,0,762.5
77,2013,5,Karnataka,Bidar,1.7,11.7,0.9,35,19.7,133.2,353,107.9,182.2,114.2,29.2,0.1,988.8
77,2014,5,Karnataka,Bidar,0,6.4,67.7,12.9,41.1,52.5,114.7,197.6,93.4,24.3,21,11.5,643.1
77,2015,5,Karnataka,Bidar,8.4,0,52.7,88.6,26.8,88.1,61.8,99.7,179,51.9,0,2.6,659.6
77,2016,5,Karnataka,Bidar,0.8,1.7,23.2,20.6,60.8,263.7,231.1,90,472.1,137.8,0,0.2,1302
77,2017,5,Karnataka,Bidar,0,0,35.4,1.5,10.6,212,75.9,221.8,132.1,136.8,29,0,855.1
78,2000,5,Karnataka,Raichur,0,17,0,2,24,96,71,172,106,143,4,0,635
78,2001,5,Karnataka,Raichur,0,0,0,18,14,31,32,70,263,182,0,0,610
78,2002,5,Karnataka,Raichur,3,3,0,0,64,95,73,81,112,149,0,0,580
78,2003,5,Karnataka,Raichur,-1,-1,-1,5,0,67,165,99,85,77,1,4,-1
78,2004,5,Karnataka,Raichur,9,0,0,32,112,58,98,22,154,86,2,0,573
78,2005,5,Karnataka,Raichur,3,0,2,30,98,36,165,126,153,212,2,0,827
78,2006,5,Karnataka,Raichur,0,0,104,16,68,78,21,26,169,43,38,0,563
78,2007,5,Karnataka,Raichur,0,0,0,17,37.8,253.1,56,76.3,204.4,58.3,4.9,0,707.8
78,2008,5,Karnataka,Raichur,0,0,1,23,52,16,41,91,133,48,17,1,348
78,2009,5,Karnataka,Raichur,0,0,2.7,3.8,45.1,67,13.4,128,220.5,698.1,0,0,1178.6
78,2010,5,Karnataka,Raichur,13,0,0,4,25,96,138,230,72,45,30,1,653
78,2011,5,Karnataka,Raichur,0,0,0,16,23,58,92,96,37,35,0,0,358
78,2012,5,Karnataka,Raichur,0,0,0,31.2,9.3,24.9,87.3,77.1,89.9,45.2,46.9,0.1,411.9
78,2013,5,Karnataka,Raichur,0,14.3,0,19.8,53.7,105.8,125.1,90.2,220.7,123.6,3.9,0,757.1
78,2014,5,Karnataka,Raichur,0,2.6,27.6,17.6,95,32.4,62.6,249.4,91.2,61.5,3.5,8.1,651.5
78,2015,5,Karnataka,Raichur,2.8,0,15.5,69.4,28.7,25.1,33,60,270.4,57.9,3.1,2.3,568.2
78,2016,5,Karnataka,Raichur,1.2,0,0,2.4,33.7,125.8,119,53.3,213.6,16.2,0,2,567.2
78,2017,5,Karnataka,Raichur,0,0,17.3,1.7,31.7,89.7,18.2,144,264.6,200.3,0,0,767.5
79,2000,5,Karnataka,Gulbarga,0,1,0,3,37,145,126,188,128,112,0,0,740
79,2001,5,Karnataka,Gulbarga,5,0,0,16,4,65,33,128,226,135,3,0,615
79,2002,5,Karnataka,Gulbarga,13,3,1,9,31,76,77,128,69,124,1,0,532
79,2003,5,Karnataka,Gulbarga,-1,-1,-1,7,0,57,137,167,127,31,0,0,-1
79,2004,5,Karnataka,Gulbarga,9,0,1,38,118,59,138,33,147,79,4,0,626
79,2005,5,Karnataka,Gulbarga,5,0,0,20,99,59,204,150,219,120,1,0,877
79,2006,5,Karnataka,Gulbarga,0,0,27,27,73,104,50,58,169,54,31,0,593
79,2007,5,Karnataka,Gulbarga,0,0,0.3,5.5,23.9,237.3,84.5,149.3,234.5,14.7,14.1,0.1,764.2
79,2008,5,Karnataka,Gulbarga,0,0,0,16,27,45,103,149,161,62,13,2,535
79,2009,5,Karnataka,Gulbarga,0,0,7.5,7.7,30.4,98.8,45,198.9,293.2,180.1,0,0,861.6
79,2010,5,Karnataka,Gulbarga,2,4,0,7,19,93,243,242,152,82,36,0,881
79,2011,5,Karnataka,Gulbarga,0,10,1,26,27,50,198,182,43,57,1,0,593
79,2012,5,Karnataka,Gulbarga,0.2,0,0,48.5,15.7,97.5,143.8,135.8,98.9,108.7,18.6,0,667.7
