iter	Passed	Remaining
552	33979	27466
553	34055	27416
554	34119	27357
555	34183	27297
556	34233	27226
557	34287	27159
558	34343	27093
559	34405	27032
560	34460	26966
561	34515	26900
562	34583	26843
563	34661	26795
564	34734	26742
565	34806	26688
566	34868	26628
567	34926	26563
568	34988	26502
569	35057	26446
570	35128	26392
571	35193	26333
572	35260	26275
573	35327	26218
574	35391	26159
575	35459	26102
576	35511	26033
577	35568	25968
578	35629	25906
579	35684	25840
580	35740	25774
581	35800	25712
582	35870	25657
583	35944	25604
584	36003	25540
585	36082	25491
586	36145	25431
587	36209	25371
588	36280	25316
589	36346	25257
590	36412	25198
591	36485	25145
592	36559	25092
593	36635	25040
594	36689	24973
595	36748	24910
596	36812	24850
597	36891	24800
598	36949	24735
599	37025	24683
600	37098	24629
601	37167	24572
602	37234	24514
603	37301	24456
604	37361	24392
605	37418	24327
606	37474	24262
607	37532	24198
608	37595	24137
609	37651	24072
610	37715	24011
611	37766	23943
612	37824	23879
613	37887	23818
614	37955	23760
615	38035	23710
616	38106	23654
617	38166	23591
618	38225	23528
619	38281	23463
620	38349	23404
621	38423	23350
622	38484	23288
623	38537	23221
624	38597	23158
625	38655	23094
626	38720	23034
627	38791	22978
628	38853	22916
629	38915	22855
630	38969	22788
631	39029	22726
632	39088	22662
633	39156	22604
634	39220	22544
635	39300	22492
636	39380	22441
637	39473	22397
638	39531	22333
639	39586	22267
640	39656	22210
641	39715	22146
642	39801	22098
643	39863	22036
644	39929	21976
645	39991	21914
646	40048	21850
647	40114	21790
648	40171	21726
649	40222	21658
650	40270	21589
651	40338	21530
652	40405	21471
653	40460	21405
654	40522	21343
655	40601	21291
656	40685	21240
657	40776	21193
658	40867	21146
659	40941	21091
660	41023	21039
661	41088	20978
662	41169	20926
663	41242	20869
664	41313	20812
665	41371	20747
666	41425	20681
667	41488	20620
668	41552	20558
669	41607	20493
670	41665	20429
671	41726	20366
672	41791	20305
673	41858	20246
674	41914	20181
675	41970	20115
676	42030	20053
677	42091	19990
678	42145	19924
679	42205	19861
680	42263	19797
681	42319	19732
682	42377	19668
683	42435	19604
684	42494	19541
685	42549	19475
686	42607	19412
687	42679	19354
688	42751	19296
689	42826	19240
690	42890	19179
691	42950	19116
692	43027	19061
693	43086	18997
694	43164	18942
695	43243	18887
696	43329	18836
697	43408	18781
698	43476	18721
699	43547	18663
700	43626	18608
701	43695	18548
702	43771	18492
703	43845	18434
704	43903	18371
705	43958	18305
706	44017	18241
707	44074	18177
708	44135	18114
709	44208	18057
710	44282	17999
711	44354	17941
712	44424	17881
713	44479	17816
714	44538	17752
715	44595	17688
716	44654	17625
717	44711	17560
718	44767	17496
719	44831	17434
720	44885	17368
721	44951	17308
722	45012	17245
723	45076	17183
724	45140	17122
725	45213	17063
726	45282	17004
727	45349	16943
728	45404	16878
729	45460	16813
730	45520	16750
731	45587	16690
732	45647	16627
733	45703	16562
734	45757	16497
735	45821	16435
736	45880	16372
737	45934	16307
738	45991	16243
739	46049	16179
740	46110	16116
741	46169	16053
742	46219	15987
743	46275	15922
744	46338	15860
745	46388	15794
746	46448	15731
747	46509	15669
748	46570	15606
749	46625	15541
750	46690	15480
751	46765	15422
752	46841	15365
753	46913	15306
754	46982	15246
755	47061	15189
756	47128	15128
757	47198	15068
758	47281	15012
759	47366	14957
760	47443	14900
761	47503	14837
762	47563	14774
763	47625	14711
764	47697	14652
765	47773	14594
766	47850	14536
767	47926	14477
768	48006	14420
769	48083	14362
770	48159	14304
771	48234	14245
772	48289	14180
773	48344	14116
774	48403	14052
775	48461	13988
776	48528	13927
777	48585	13863
778	48646	13800
779	48713	13739
780	48781	13678
781	48851	13618
782	48923	13558
783	48995	13498
784	49072	13440
785	49151	13382
786	49227	13323
787	49324	13270
788	49393	13209
789	49464	13148
790	49543	13090
791	49629	13033
792	49699	12973
793	49775	12913
794	49854	12855
795	49935	12797
796	50009	12737
797	50085	12678
798	50168	12620
799	50243	12560
800	50310	12499
801	50365	12434
802	50431	12372
803	50497	12310
804	50567	12249
805	50640	12188
806	50712	12128
807	50768	12063
808	50827	11999
809	50893	11937
810	50954	11874
811	51017	11811
812	51087	11750
813	51159	11690
814	51215	11625
815	51286	11564
816	51362	11504
817	51429	11442
818	51500	11381
819	51569	11320
820	51632	11257
821	51696	11194
822	51756	11131
823	51820	11068
824	51884	11005
825	51946	10942
826	52012	10880
827	52080	10818
828	52143	10755
829	52208	10693
830	52287	10633
831	52353	10571
832	52423	10509
833	52491	10447
834	52564	10387
835	52630	10324
836	52708	10264
837	52790	10205
838	52868	10145
839	52931	10082
840	53017	10023
841	53097	9963
842	53177	9903
843	53242	9841
844	53318	9780
845	53379	9716
846	53468	9658
847	53530	9595
848	53600	9533
849	53667	9470
850	53736	9408
851	53804	9346
852	53877	9284
853	53945	9222
854	54004	9158
855	54065	9095
856	54137	9033
857	54196	8969
858	54260	8906
859	54314	8841
860	54379	8779
861	54444	8716
862	54509	8653
863	54570	8589
864	54635	8526
865	54696	8463
866	54761	8400
867	54825	8337
868	54889	8274
869	54961	8212
870	55034	8150
871	55104	8088
872	55182	8027
873	55246	7964
874	55318	7902
875	55386	7840
876	55467	7779
877	55575	7722
878	55672	7663
879	55749	7602
880	55852	7544
881	55939	7483
882	56007	7421
883	56067	7357
884	56135	7294
885	56196	7230
886	56271	7168
887	56346	7106
888	56425	7045
889	56494	6982
890	56567	6920
891	56646	6858
892	56719	6796
893	56793	6733
894	56854	6670
895	56932	6608
896	56996	6544
897	57072	6482
898	57158	6421
899	57225	6358
900	57293	6295
901	57381	6234
902	57468	6173
903	57603	6117
904	57712	6058
905	57781	5994
906	57848	5931
907	57920	5868
908	57978	5804
909	58043	5740
910	58111	5677
911	58184	5614
912	58242	5549
913	58311	5486
914	58372	5422
915	58437	5358
916	58504	5295
917	58576	5232
918	58646	5169
919	58715	5105
920	58776	5041
921	58836	4977
922	58893	4913
923	58953	4849
924	59023	4785
925	59084	4721
926	59138	4657
927	59197	4592
928	59250	4528
929	59308	4464
930	59367	4399
931	59431	4336
932	59492	4272
933	59554	4208
934	59613	4144
935	59669	4079
936	59732	4016
937	59798	3952
938	59857	3888
939	59914	3824
940	59969	3760
941	60034	3696
942	60093	3632
943	60154	3568
944	60218	3504
945	60278	3440
946	60340	3377
947	60398	3312
948	60458	3249
949	60522	3185
